order_customer_id,order_id,order_date,order_status
11599,1,2013-07-25 00:00:00.0,CLOSED
256,2,2013-07-25 00:00:00.0,PENDING_PAYMENT
12111,3,2013-07-25 00:00:00.0,COMPLETE
8827,4,2013-07-25 00:00:00.0,CLOSED
11318,5,2013-07-25 00:00:00.0,COMPLETE
7130,6,2013-07-25 00:00:00.0,COMPLETE
4530,7,2013-07-25 00:00:00.0,COMPLETE
2911,8,2013-07-25 00:00:00.0,PROCESSING
5657,9,2013-07-25 00:00:00.0,PENDING_PAYMENT
5648,10,2013-07-25 00:00:00.0,PENDING_PAYMENT
918,11,2013-07-25 00:00:00.0,PAYMENT_REVIEW
1837,12,2013-07-25 00:00:00.0,CLOSED
9149,13,2013-07-25 00:00:00.0,PENDING_PAYMENT
9842,14,2013-07-25 00:00:00.0,PROCESSING
2568,15,2013-07-25 00:00:00.0,COMPLETE
7276,16,2013-07-25 00:00:00.0,PENDING_PAYMENT
2667,17,2013-07-25 00:00:00.0,COMPLETE
1205,18,2013-07-25 00:00:00.0,CLOSED
9488,19,2013-07-25 00:00:00.0,PENDING_PAYMENT
9198,20,2013-07-25 00:00:00.0,PROCESSING
2711,21,2013-07-25 00:00:00.0,PENDING
333,22,2013-07-25 00:00:00.0,COMPLETE
4367,23,2013-07-25 00:00:00.0,PENDING_PAYMENT
11441,24,2013-07-25 00:00:00.0,CLOSED
9503,25,2013-07-25 00:00:00.0,CLOSED
7562,26,2013-07-25 00:00:00.0,COMPLETE
3241,27,2013-07-25 00:00:00.0,PENDING_PAYMENT
656,28,2013-07-25 00:00:00.0,COMPLETE
196,29,2013-07-25 00:00:00.0,PROCESSING
10039,30,2013-07-25 00:00:00.0,PENDING_PAYMENT
6983,31,2013-07-25 00:00:00.0,PAYMENT_REVIEW
3960,32,2013-07-25 00:00:00.0,COMPLETE
5793,33,2013-07-25 00:00:00.0,PENDING_PAYMENT
4189,34,2013-07-25 00:00:00.0,PROCESSING
4840,35,2013-07-25 00:00:00.0,COMPLETE
5649,36,2013-07-25 00:00:00.0,PENDING
5863,37,2013-07-25 00:00:00.0,CLOSED
11586,38,2013-07-25 00:00:00.0,PROCESSING
8214,39,2013-07-25 00:00:00.0,PENDING
12092,40,2013-07-25 00:00:00.0,PENDING_PAYMENT
8136,41,2013-07-25 00:00:00.0,PENDING_PAYMENT
9776,42,2013-07-25 00:00:00.0,PENDING
7776,43,2013-07-25 00:00:00.0,PENDING_PAYMENT
10500,44,2013-07-25 00:00:00.0,PENDING
2636,45,2013-07-25 00:00:00.0,COMPLETE
1549,46,2013-07-25 00:00:00.0,ON_HOLD
8487,47,2013-07-25 00:00:00.0,PENDING_PAYMENT
12186,48,2013-07-25 00:00:00.0,PROCESSING
1871,49,2013-07-25 00:00:00.0,PENDING
5225,50,2013-07-25 00:00:00.0,CANCELED
12271,51,2013-07-25 00:00:00.0,CLOSED
5126,52,2013-07-25 00:00:00.0,PENDING_PAYMENT
4701,53,2013-07-25 00:00:00.0,PROCESSING
10628,54,2013-07-25 00:00:00.0,PENDING_PAYMENT
2052,55,2013-07-25 00:00:00.0,PENDING
10519,56,2013-07-25 00:00:00.0,COMPLETE
7073,57,2013-07-25 00:00:00.0,CLOSED
9213,58,2013-07-25 00:00:00.0,PENDING_PAYMENT
11644,59,2013-07-25 00:00:00.0,PENDING_PAYMENT
8365,60,2013-07-25 00:00:00.0,PENDING_PAYMENT
4791,61,2013-07-25 00:00:00.0,CLOSED
9111,62,2013-07-25 00:00:00.0,CLOSED
1148,63,2013-07-25 00:00:00.0,COMPLETE
5579,64,2013-07-25 00:00:00.0,PENDING_PAYMENT
5903,65,2013-07-25 00:00:00.0,COMPLETE
1792,66,2013-07-25 00:00:00.0,ON_HOLD
1406,67,2013-07-25 00:00:00.0,COMPLETE
4320,68,2013-07-25 00:00:00.0,PENDING
2821,69,2013-07-25 00:00:00.0,SUSPECTED_FRAUD
11809,70,2013-07-25 00:00:00.0,PENDING_PAYMENT
8646,71,2013-07-25 00:00:00.0,COMPLETE
